WT05
82.159000 31.859400
68.0
3.1484 0
3.1484 -2
3.2362 -2.00001
3.2362 -4
3.2722 -4.00001
3.2722 -6
3.3893 -6.00001
3.3893 -8
3.5592 -8.00001
3.5592 -10
3.4965 -10
3.4965 -12
3.4152 -12
3.4152 -14
3.3687 -14
3.3687 -16
3.2574 -16
3.2574 -18
3.2667 -18
3.2667 -20
3.3344 -20
3.3344 -22
3.3715 -22
3.3715 -24
3.3412 -24
3.3412 -26
3.3448 -26
3.3448 -28
3.3221 -28
3.3221 -30
3.2773 -30
3.2773 -32
3.3427 -32
3.3427 -34
3.3633 -34
3.3633 -36
3.3808 -36
3.3808 -38
3.3898 -38
3.3898 -40
3.3916 -40
3.3916 -42
3.4069 -42
3.4069 -44
3.4611 -44
3.4611 -46
3.5019 -46
3.5019 -48
3.5239 -48
3.5239 -50
3.5676 -50
3.5676 -52
3.5891 -52
3.5891 -54
3.5731 -54
3.5731 -56
3.5685 -56
3.5685 -58
3.6140 -58
3.6140 -60
3.7351 -60
3.7351 -62
3.8781 -62
3.8781 -64
3.9937 -64
3.9937 -66
4.0827 -66
4.0827 -68
4.1441 -68
4.1441 -70
4.1873 -70
4.1873 -72
4.2194 -72
4.2194 -74
4.2482 -74
4.2482 -76
4.2806 -76
4.2806 -78
4.3118 -78
4.3118 -80
4.3385 -80
4.3385 -82
4.3729 -82
4.3729 -84
4.4179 -84
4.4179 -86
4.4707 -86
4.4707 -88
4.5206 -88
4.5206 -90
4.5553 -90
4.5553 -92
4.5691 -92
4.5691 -94
4.5607 -94
4.5607 -96
4.5334 -96
4.5334 -98
4.4951 -98
4.4951 -100
4.4688 -100
4.4688 -102
4.4653 -105
4.4653 -107
4.4816 -110
4.4816 -112
4.4946 -115
4.4946 -117
4.5044 -120
4.5044 -122
4.5074 -125
4.5074 -127
4.5108 -130
4.5108 -132
4.5111 -135
4.5111 -137
4.5109 -140
4.5109 -142
4.5101 -145
4.5101 -147
4.5118 -150
4.5118 -152
4.5126 -160
4.5126 -162
4.5129 -170
4.5129 -172
4.5135 -180
4.5135 -182
4.5147 -190
4.5147 -192
